#{"t_start": 1712703587.4013314, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.746421,999,19.398449
-6.757972,999,41.983737
91.878963,538,54.679257
94.676964,124,57.624681
94.667408,186,61.338847
94.181659,198,66.122094
90.683972,295,72.744454
87.275277,503,85.41673
93.436505,183,89.369377
77.345358,928,109.777131
95.09576,99,111.850418
88.698652,254,118.310766
90.262638,195,123.178527
76.279533,398,133.349534
94.261309,89,135.670927
82.215122,303,148.144475
80.180305,382,157.467549
86.396369,286,163.59927
93.887675,143,166.389265
83.141281,285,172.925257
41.71121,955,192.973761
68.667603,425,202.50945
70.306683,397,211.543473
78.431264,243,216.905474
59.129039,531,229.248512
91.962255,132,231.81885
56.186223,646,245.68568
71.282819,554,259.644878
70.767833,635,274.822953
94.2606,80,276.429529
85.658282,307,283.782674
84.260539,350,293.461892
81.126831,370,302.485073
76.247364,408,312.553732
87.348939,221,317.866676
78.494403,329,326.169046
91.371554,155,329.882607
79.380231,254,336.329034
92.495935,96,338.809389
93.483922,94,341.21087
93.863354,83,342.876297
70.791262,332,351.210001
94.504679,74,352.56582
94.650525,74,354.328435
93.361214,84,356.951623
93.680514,83,359.492955
93.148364,84,361.92713
93.646509,80,364.538254
93.414006,80,366.678621
87.936437,161,371.500257
94.336553,77,374.303598
93.277639,81,376.392597
93.676631,75,379.22853
93.826353,76,381.243811
93.231437,80,383.10668
94.991404,73,385.511746
93.461865,82,387.539307
94.282559,71,389.496233
93.702943,71,392.013261
94.199346,71,394.753021
94.144354,70,396.74875
94.037385,69,398.69608
94.199152,75,400.971777
94.048947,68,402.871639
90.510191,127,407.130835
90.572104,131,411.120572
93.933327,75,413.343718
92.541785,95,416.03967
94.505093,72,418.049501
93.453969,79,420.815146
91.289152,121,424.432829
94.20312,67,426.583459
90.762602,125,430.011571
94.251936,73,431.953371
94.304303,67,433.842286
94.040877,70,435.815614
94.062829,71,437.586722
94.265505,67,439.483357
94.374608,67,442.203645
94.449699,67,444.343276
94.471199,70,446.555759
94.538508,69,448.731646
94.875945,73,450.697201
94.974043,70,452.585797
93.40239,87,455.896965
94.932268,73,458.01149
94.412419,80,460.939264
94.499144,77,462.94136
94.184469,77,466.073982
94.302315,79,468.081308
95.117749,75,470.240785
94.794892,78,472.259475
94.989388,71,473.789726
93.931675,83,476.596234
94.299593,77,478.394468
87.335564,163,482.747538
93.080222,84,485.915906
92.661882,83,488.43093
92.020363,99,491.44982
93.748698,81,493.63227
92.568584,89,496.423556
92.773208,85,499.214815
93.585573,80,501.173499
92.379604,85,503.995076
92.178484,88,506.802822
93.097841,82,508.889952
92.313649,88,511.777046
91.83502,89,514.630324
92.208062,88,516.918048
92.274112,91,519.802986
92.149596,87,522.463999
92.499972,85,525.324561
93.161923,84,527.695538
93.118435,82,530.429484
92.600581,86,532.631289
93.069361,81,535.248017
92.828355,84,537.798551
92.701338,82,539.790352
92.55114,84,542.323483
92.84793,82,544.315329
92.515584,83,546.965678
92.218137,85,549.70956
92.664031,83,551.846927
92.61215,81,554.511149
91.91157,89,557.512229
92.616389,83,559.531863
92.444435,83,562.05433
92.452045,84,564.729435
92.845046,80,567.529311
92.007682,88,570.371854
93.25742,79,572.576151
92.435971,83,575.402676
93.269757,77,577.870166
92.940832,81,580.827956
93.298623,79,582.933056
93.618279,76,585.132739
92.718292,80,588.465165
92.929587,79,590.807971
92.837292,80,593.594615
92.68222,84,596.473812
92.912132,81,598.703387
92.468406,83,601.725923
92.532106,83,603.718939
92.591192,85,606.506253
92.25764,86,609.119174
93.116016,79,612.321883
93.313544,80,614.857002
93.043777,84,618.086823
93.360578,78,620.937365
92.701696,81,623.079964
92.771544,80,625.742018
86.878563,164,630.607009
92.497432,87,632.774417
92.80923,79,634.967112
93.142198,79,637.019358
87.539059,152,641.514719
92.945967,81,643.815609
92.85146,79,645.729207
92.810063,80,648.089837
93.166728,77,650.108529
92.738533,80,652.427737
92.743604,78,655.018425
94.279881,73,657.058003
94.438139,69,659.046904
88.766616,132,663.073742
-90.0465,999,683.619709
-87.150537,999,705.885051
-85.843722,999,726.14972
-92.216144,999,747.982552
71.770995,328,754.886813
-91.743979,999,775.865316
60.488232,441,786.72189
91.112296,114,789.29057
