#{"t_start": 1712703587.3321466, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.035261,999,19.467634
92.604125,985,41.245571
-24.986567,999,64.548656
88.264518,421,74.386446
91.543419,169,78.330361
94.580035,186,82.638553
84.699157,396,92.585394
88.532054,411,101.552825
91.169204,199,105.374866
94.762264,94,107.59704
71.998247,595,122.274334
67.665153,629,138.151906
91.571069,139,141.065863
92.099955,198,151.758811
91.477793,159,155.345016
-48.744239,999,176.733373
75.63943,523,188.449393
57.968828,617,201.803111
-87.029347,999,224.399441
38.428202,903,243.487559
79.193176,351,251.92473
83.137315,296,259.583272
73.724624,788,278.154783
93.766456,135,280.924626
94.823643,95,283.302604
87.668564,213,288.390456
87.278563,262,295.923246
88.719131,203,301.507287
35.934992,918,323.9016
82.878913,244,329.951792
88.143784,169,333.923526
94.005683,86,336.478231
79.485028,299,343.677875
79.436057,253,349.797857
87.080461,166,353.426242
78.124815,271,361.488265
91.926754,99,364.820926
93.062537,90,367.58923
92.635531,89,369.733428
92.983893,83,372.484707
93.062576,82,375.313169
94.147681,73,377.534172
93.573668,77,379.684222
93.317995,77,382.249056
93.82056,73,384.027437
93.88785,74,385.965399
93.137605,75,388.554244
94.035099,75,390.511746
94.478878,70,392.46172
94.141811,73,395.199956
93.884313,71,397.71996
93.854082,73,399.688512
94.281588,68,401.419452
94.22385,67,403.260782
94.168449,67,405.340527
94.648231,70,407.400485
94.448123,71,410.114573
94.131594,67,412.24046
92.361417,94,415.01407
92.581416,95,417.873951
93.740062,78,419.886302
94.645738,77,422.441965
94.361224,69,424.638824
94.327839,70,426.86814
94.300226,68,428.549211
94.153775,68,430.314372
94.163469,68,432.191108
94.067758,69,434.081126
89.294839,134,438.213838
94.107723,68,440.421704
94.335083,73,442.502698
94.518386,72,444.655097
94.584151,67,446.812118
94.347467,72,449.626204
93.99162,73,451.586812
94.306172,75,454.063618
94.287579,78,456.854916
94.653918,76,459.041821
94.919433,72,461.18682
94.400758,73,463.747221
94.29819,71,466.142065
94.581874,73,467.992928
94.810524,74,469.653904
93.419743,93,472.491983
92.833335,97,474.992194
92.089233,120,478.383486
94.354467,76,480.272121
93.635841,83,482.669801
92.206374,93,485.508919
93.14976,84,488.500114
93.199971,84,490.648152
93.102377,79,493.442535
92.231079,89,495.403956
92.362292,89,498.335422
92.727111,86,501.15311
93.606534,80,503.176342
91.880958,105,507.010014
92.012392,92,509.927519
90.787001,101,512.823881
92.810005,88,515.030106
92.294389,89,517.887424
92.65647,83,520.771729
91.919098,90,523.50385
92.944604,85,525.715591
92.64861,83,528.676939
93.021663,85,531.453274
92.301132,85,533.595858
92.452975,86,536.192184
92.340483,88,538.855072
93.356704,81,540.841622
92.645053,84,543.274476
92.780154,87,545.881262
92.429441,85,547.931843
92.989602,80,550.630842
92.49197,86,552.914033
93.06627,80,555.747433
92.968333,80,557.852783
92.93544,84,560.490465
93.683625,78,562.354705
93.611152,78,565.676046
92.975738,82,567.788949
93.093419,82,570.667034
92.646247,84,573.555241
93.770727,76,575.621703
92.765069,90,579.048265
93.001463,78,581.260935
92.603191,83,584.096267
92.76719,87,587.432225
92.592989,81,589.776767
93.368884,78,592.579315
92.356629,92,594.980804
92.599576,84,597.892114
93.032777,80,600.737253
93.061982,77,602.963834
92.797573,80,604.896332
92.610711,81,607.418519
93.148401,81,609.445279
93.072177,79,613.16444
93.159798,79,615.506492
92.578509,82,618.9546
92.902033,81,622.013232
92.863995,79,624.171789
93.335523,78,626.222105
92.887541,78,628.990581
93.168656,78,631.133893
92.732007,89,633.491334
92.664681,83,635.998954
93.001133,80,638.055038
93.280836,77,640.544275
92.630275,84,642.539807
92.978978,78,644.744758
93.153319,80,646.805432
93.02757,84,649.133477
92.931283,78,651.161209
92.785504,91,654.05615
92.857158,78,656.079482
93.608462,73,658.864014
-91.035079,999,680.904472
19.96047,903,699.583153
-88.824784,999,720.834522
-89.85677,999,743.032137
-91.509077,999,763.24447
8.224131,999,785.857039
90.403031,108,788.467875
