#{"t_start": 1712703587.3355155, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.760402,999,19.464265
97.167146,785,36.740678
97.069794,390,46.022463
90.171953,339,53.908686
96.112858,193,58.456969
84.888302,312,65.435308
87.504769,270,71.326175
91.666838,293,78.461723
95.218547,81,80.27563
66.392611,886,101.402905
82.772158,387,109.608533
94.904566,111,111.776765
95.078535,83,114.402834
70.737602,611,129.485277
85.142315,262,135.892944
81.217228,424,151.889017
89.278131,244,157.45157
91.446469,189,161.428061
84.486089,330,169.159698
94.102464,157,172.331023
78.514585,368,180.169396
88.962579,163,183.524181
88.44767,167,186.800366
81.371744,272,192.306585
65.703508,463,203.29135
-80.885683,999,225.796066
-70.642379,999,247.305947
78.916717,342,255.492308
90.94444,264,262.061596
77.447793,496,274.138492
89.484415,204,278.972462
88.543649,345,286.60274
89.426015,210,292.77785
66.507462,579,308.067832
71.880286,436,318.073623
48.570697,629,333.691243
93.601851,87,336.173263
89.31012,162,340.44314
87.386136,166,344.288474
81.086605,240,349.927516
94.201223,79,351.982687
92.729323,90,354.1578
93.280145,91,356.176404
94.714116,77,358.669325
91.584695,98,361.829586
94.289703,81,363.852613
93.522058,81,366.522174
94.218896,76,368.675413
94.322315,77,371.175709
94.008018,76,373.259905
94.113874,74,375.488743
93.847845,77,378.315614
93.474551,78,380.386864
94.844923,71,382.360683
93.779841,76,384.783365
93.762151,74,386.71509
94.504479,70,388.729659
94.101729,73,391.258556
93.900104,73,393.208902
93.815106,72,396.001972
94.342675,71,397.964487
94.616956,69,400.247759
94.232796,70,402.108464
94.114172,67,404.235132
94.553824,68,406.291918
93.882316,70,408.369595
94.438974,68,410.353255
93.982713,83,413.316747
92.725908,125,416.947803
92.035516,114,419.971943
93.018534,97,422.747561
94.254703,72,425.588314
94.092467,70,427.630074
93.93675,67,429.329359
94.190125,78,431.289317
89.94804,122,434.891269
93.926591,75,436.950695
94.200238,67,439.288468
94.547366,68,441.387849
93.77828,67,443.484021
94.497196,69,445.552838
93.575477,81,447.826525
90.862184,145,452.406567
94.786754,70,454.948337
95.054025,72,457.102761
94.291884,75,459.796408
90.63144,155,464.950447
94.533442,70,466.984251
94.467412,79,468.73697
94.370842,77,471.297058
94.685841,78,473.140756
94.530772,78,475.724254
93.236838,87,477.62149
94.114976,75,480.108654
94.080867,76,481.933876
94.19976,78,484.027236
93.390967,83,487.067986
94.424407,76,489.034694
93.786879,80,491.829683
93.797189,79,493.860073
92.140972,94,496.734918
91.867361,95,499.534654
93.349287,85,502.291981
92.944599,88,505.138434
91.263133,96,508.014329
93.002793,84,510.251674
92.179893,88,513.115285
91.804887,93,515.98869
91.413339,98,518.859334
92.090499,88,521.748652
92.424966,86,523.826509
91.735114,91,526.702889
92.985126,83,529.655802
92.772363,83,531.790517
92.89368,81,534.356212
92.527081,84,536.923429
92.90112,83,539.076969
93.024182,84,541.50642
92.219094,84,543.499436
92.820919,83,546.128516
92.686444,83,548.691376
92.43112,83,550.871132
92.617573,82,553.662983
92.979767,80,555.847876
92.865973,80,558.5794
93.757984,77,560.574172
92.78167,81,563.132428
92.65076,82,565.852932
93.051124,85,568.659974
93.451108,80,570.847625
93.009862,80,573.705216
92.577165,82,576.472848
92.643367,81,579.150241
92.650966,84,581.993222
92.241285,92,584.879978
92.528478,83,587.613694
92.862169,79,590.513939
92.489124,83,592.862593
93.008792,81,595.671326
93.100019,82,597.989799
92.84868,85,600.993244
93.229082,77,603.061717
92.926672,82,605.532231
92.96765,80,607.650562
92.667565,82,610.244443
92.613738,82,613.933553
93.125415,84,616.336199
92.65237,80,620.119683
92.56233,81,622.258666
92.712639,81,624.972197
92.427645,83,627.070684
93.308546,80,629.961951
92.686609,83,632.0484
92.281611,89,634.341705
92.9193,77,636.828186
93.104003,81,638.888454
93.143857,79,641.356549
92.520325,82,643.242842
92.649664,83,645.699245
92.796274,81,647.594299
93.26731,77,650.010572
93.056041,78,651.858529
92.557168,84,655.000918
93.030132,79,656.972989
94.805105,77,659.872157
-91.874209,999,681.530101
-87.946346,999,703.035486
-91.314032,999,723.618686
58.361406,485,733.700333
67.60661,396,743.166926
-91.769548,999,763.374535
-88.602014,999,785.943862
91.229354,112,789.062299
