#{"t_start": 1712703587.3447278, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.487059,999,19.455053
-6.466319,999,42.04034
90.298029,625,56.329862
93.210871,184,60.570994
91.767063,188,64.680385
75.609935,825,84.49237
86.836324,442,95.55128
93.746916,235,100.314526
93.289716,132,102.641496
94.31333,156,106.082722
58.16749,815,125.580087
94.581701,109,128.642817
82.886655,422,139.087005
-54.770245,999,167.184313
79.820853,397,175.754758
87.454569,201,180.301981
79.968017,354,187.757816
82.630458,282,193.74226
91.119946,125,196.693775
91.025067,152,200.401506
64.637316,427,209.419297
31.893136,847,228.578861
69.705356,433,237.792258
55.850365,863,257.869153
-40.458823,999,281.763335
93.681379,129,284.617593
91.779085,146,288.153029
83.675732,328,297.574462
61.532068,638,313.418181
83.951604,228,318.953767
94.518349,84,321.306677
27.026346,873,342.771919
92.307353,94,345.120783
85.487976,173,349.099149
94.333159,81,351.266604
92.495125,87,352.8417
93.855749,78,355.215919
93.523451,90,357.806686
92.822554,91,360.667333
91.524557,94,362.921348
93.311942,82,365.733493
92.477611,90,368.435512
92.121894,92,371.294316
93.307503,79,373.463838
92.884922,82,376.348449
93.496892,84,378.455285
93.499913,78,381.220269
92.706907,83,383.241033
94.387798,73,385.693727
93.258109,82,387.745856
93.966229,75,390.333533
93.906383,70,392.278825
93.790811,72,394.940954
94.233773,70,396.891381
94.109334,68,398.831524
94.452019,68,400.481057
92.259468,97,404.07999
94.068207,70,406.147115
94.092852,73,408.273887
93.821838,73,410.423658
94.240726,67,412.41532
90.487734,132,416.196137
90.262242,127,420.121375
90.762944,126,423.731196
94.256773,67,425.90567
93.346451,97,429.179505
94.284729,68,431.101969
94.034047,67,432.988509
93.851297,77,434.958951
94.117606,67,436.781964
94.011211,69,438.516093
94.05004,68,441.243077
94.14334,71,443.346676
94.253896,74,445.629656
94.570084,74,447.736342
94.427054,70,450.448664
94.479896,82,452.476516
94.775941,68,455.02563
94.57716,74,457.818653
94.024629,79,460.00673
94.950242,75,461.946166
93.976243,87,465.279968
94.401541,81,467.761669
94.801514,73,469.470589
93.234106,96,472.105462
94.00559,83,474.137778
93.938104,84,477.016861
94.640561,78,479.208074
93.144034,89,481.174023
92.644998,91,483.924765
93.412507,81,486.971162
94.67059,72,488.780673
93.059191,83,491.374126
93.448531,83,493.538095
93.361997,81,496.310884
92.57657,89,498.414246
92.400419,87,501.316458
88.708928,131,505.243435
92.666947,86,508.147274
92.134151,90,510.996974
91.869376,92,513.869054
92.002784,89,516.07407
92.971816,85,518.92926
92.776422,83,521.607512
91.325534,97,524.567198
92.600076,84,526.770077
92.910459,83,529.723605
92.93764,81,531.7017
92.042976,88,534.483486
92.765055,85,537.048713
92.75232,83,539.146951
92.651631,85,541.632147
92.510619,86,544.147776
92.16751,85,546.222944
92.456487,84,548.822761
92.439505,83,551.606662
92.496365,82,553.798084
93.039537,81,556.599098
93.353647,79,558.710026
92.308147,84,561.249701
93.275179,83,563.847
92.399997,86,566.594583
92.672018,81,569.447351
92.685902,82,571.602314
93.663131,78,574.460624
93.368848,78,576.627754
92.587277,82,579.891511
93.275789,81,582.155199
92.702175,81,585.051831
93.560787,78,587.604612
92.576419,85,590.746928
92.957208,80,592.957713
92.564505,82,595.809957
92.821547,83,598.078927
92.931449,79,600.899794
93.102451,78,603.053632
92.832636,83,605.71365
92.785276,85,608.29405
92.566397,82,610.330475
92.653157,84,614.067032
93.0484,83,617.004368
92.983639,79,620.248381
92.442463,90,622.975905
92.934237,79,625.114276
88.172539,147,629.737728
93.519092,75,631.825847
92.721041,81,634.102766
92.913456,81,636.133705
93.091503,84,638.719768
92.478214,83,640.688637
92.72943,79,643.097688
92.792526,79,644.883886
92.49648,88,647.37413
93.652672,84,649.873338
93.434669,82,651.928647
92.984874,80,654.913443
93.272088,79,656.834753
94.036644,67,659.017449
89.240657,121,662.323339
54.948998,553,674.402698
-88.493513,999,695.447852
88.450655,147,698.186661
-91.392649,999,719.480155
61.208008,436,728.942728
-86.96704,999,750.573036
-88.889929,999,770.888965
47.407429,610,785.610483
91.364031,112,788.364006
