#{"t_start": 1712703587.3343883, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.568061,999,19.465392
-5.737659,999,42.05068
96.013403,127,45.168344
71.458227,991,67.725497
94.735074,158,71.234776
86.165899,503,83.637959
94.550545,173,87.90072
92.939132,208,92.716384
76.593998,689,107.455053
91.975072,255,113.575232
84.276568,259,119.866264
76.797797,421,130.327606
93.354319,106,132.60561
82.646154,299,140.306334
64.237664,688,161.580187
83.524219,393,171.055183
88.168631,360,178.005155
90.878082,158,181.631731
93.020307,136,184.177246
65.230298,492,194.71074
26.354083,975,216.73284
69.194846,392,225.930001
57.954196,763,242.06426
87.456909,250,248.121712
72.779454,428,258.018903
90.381349,130,261.331495
73.560993,517,272.825685
93.846981,158,277.272735
82.733577,443,287.357637
93.691548,145,292.604593
88.500948,233,298.437639
93.540359,128,301.786859
89.413272,153,305.626182
81.573848,306,312.76898
82.599823,238,318.824498
83.995425,232,324.685537
67.937836,402,334.66647
87.777859,174,339.01576
83.566354,235,344.514313
93.719672,83,346.837245
92.428656,85,348.911615
87.093845,174,352.632763
94.3188,80,355.072918
87.605769,164,359.767418
92.882174,85,362.076164
82.571909,252,369.64522
93.511092,77,372.384646
93.555823,81,374.557462
93.087177,81,377.443728
92.804095,83,379.607605
94.150525,75,382.165954
94.07184,72,383.939405
94.346665,71,385.877791
93.760043,78,388.420921
93.5861,73,390.428198
93.923534,71,392.375221
94.354366,70,395.111123
94.111623,71,397.060794
94.242478,69,399.469576
93.73464,68,401.250088
94.332067,68,403.152855
93.902369,68,405.114023
90.951141,125,409.270528
91.650043,96,412.319502
91.104657,122,415.934258
90.606259,125,419.721372
94.208928,67,421.692434
94.248669,67,423.572867
94.230019,67,425.803685
94.18659,70,427.843541
94.096974,77,429.430413
94.263294,69,431.885024
94.27534,67,433.772603
94.867149,71,435.74511
94.374241,68,437.516526
94.210774,68,439.454277
94.271012,67,441.581795
94.420173,68,443.679221
94.758252,71,446.54106
93.904289,69,448.709613
94.420854,75,450.683601
94.195007,75,452.65274
94.193489,91,456.045787
95.249685,73,458.933748
95.199026,71,460.91838
94.510855,74,462.91419
93.19103,79,466.000168
94.76091,74,467.908336
94.842405,72,469.565395
94.023442,89,472.246869
94.497073,77,473.987819
93.686473,83,476.794922
93.332642,84,479.218414
92.761679,91,481.264267
93.514266,85,483.775916
93.920625,84,486.905974
93.787871,78,488.873248
92.904133,83,491.673734
92.80794,85,493.8612
92.612986,87,496.648876
92.00821,97,499.454021
93.82416,79,502.142231
93.770374,83,504.237387
91.598856,94,507.189082
92.466535,90,510.077182
91.975323,91,512.950361
91.637897,90,515.759494
92.196448,87,517.966797
92.545721,85,520.85212
92.352953,87,523.627871
91.836637,92,526.453598
93.373445,82,528.765586
92.581115,86,531.593029
92.609432,84,533.686826
92.828837,84,536.273197
92.406032,84,538.977897
93.331951,78,540.76093
92.48152,88,543.40028
92.098454,85,545.879021
92.921213,85,547.929602
92.887299,81,550.758778
93.141366,80,552.825827
92.736579,82,555.665427
92.543711,84,557.927754
93.193112,79,560.407619
92.612181,83,562.428108
93.172246,80,565.75288
92.340419,82,568.503451
92.805612,79,570.664793
93.221928,80,572.74703
92.527403,84,575.779548
92.668243,82,578.941521
92.538426,81,581.160467
92.716238,82,584.004696
92.504274,85,586.755435
92.894312,78,589.680141
92.188236,88,592.741444
92.378795,84,594.887767
93.071587,82,597.649722
92.45782,83,600.063998
92.998782,79,602.823159
92.858664,79,604.80509
92.283284,88,607.558767
92.52833,82,610.074365
92.735665,82,613.304826
92.803497,81,616.179001
93.099827,78,619.407559
92.804773,89,622.16762
92.752098,81,624.319641
92.269673,90,626.93751
93.07148,80,629.878992
92.686434,82,631.971636
92.809273,81,634.248318
92.840276,89,636.967591
92.882971,80,638.889581
92.906463,82,641.487861
92.92275,80,643.32007
92.848765,78,645.567567
92.526399,83,647.517179
92.963731,79,650.011699
93.24361,77,651.734953
93.002085,82,654.793223
92.898615,82,656.974117
88.343871,133,660.885934
36.319965,703,676.359411
-88.17298,999,697.450551
-87.969908,999,718.731819
-92.173167,999,740.207747
-90.387601,999,760.705544
-88.272102,999,782.559443
92.021972,102,785.753343
90.629145,106,788.296093
