#{"t_start": 1712703587.3377905, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.778047,999,19.46199
94.910805,809,37.5469
-9.386237,999,60.577931
90.397357,273,66.862436
88.095643,191,71.098318
88.109763,227,76.938009
87.642824,378,86.339094
91.423424,425,96.302707
93.025108,188,100.185154
80.103508,461,109.76231
92.839445,121,112.781231
91.577055,198,117.403305
89.72586,155,121.42002
94.731828,95,124.019538
70.171511,511,136.673623
90.696068,197,141.193468
92.554322,173,150.990549
95.222808,86,153.222709
90.148193,183,157.321875
79.295156,335,164.458156
84.849244,282,171.211639
80.088186,398,179.351726
87.703613,245,184.304094
90.185108,148,187.632033
73.853124,344,195.364723
18.658329,991,217.699429
69.258307,425,227.20904
69.72104,387,235.271029
83.778094,228,239.961151
60.885757,507,251.769163
89.140735,193,256.331025
72.160197,672,271.985081
90.979366,251,278.834648
94.012845,141,281.853691
91.935864,148,285.241839
92.691158,131,288.303547
87.115147,275,296.73052
92.67818,131,300.141281
90.408,165,304.114878
84.41389,227,309.734055
83.889784,254,315.550208
89.638503,172,319.829015
88.939476,155,323.732486
56.671499,580,338.109961
73.993618,324,346.007371
72.140857,332,354.285784
93.170207,89,356.253199
93.754163,87,358.809024
93.379554,83,361.482621
93.832306,82,363.70933
92.992203,84,366.648241
93.495265,80,368.758883
93.754927,79,371.401499
94.319795,72,373.39106
94.369211,78,376.21841
92.819789,90,378.540205
93.900369,72,381.08957
93.517313,79,383.035033
93.750327,74,384.931401
93.414145,75,387.447167
93.99957,70,389.409946
94.334146,71,391.408461
93.539947,73,394.136724
94.360813,70,396.670805
94.015026,70,398.619473
93.941612,73,400.398069
94.090838,69,402.256208
94.25284,68,404.349715
94.05644,68,407.059648
94.101448,67,409.123861
92.080923,94,412.095104
92.293251,94,414.866922
92.395231,94,417.119142
93.625036,95,420.052613
94.016487,74,422.64866
94.152348,68,424.803599
94.055619,78,427.066778
94.296866,67,428.634262
94.177947,70,430.980411
94.200657,68,432.869277
94.747264,70,434.746358
94.165365,67,436.648878
94.019039,71,438.434518
94.042519,69,440.535932
94.326015,68,442.607799
94.611193,69,445.411444
94.225747,70,447.582085
95.34995,74,449.785371
94.206269,82,452.265753
94.480083,76,454.804043
94.522784,73,457.021362
94.072583,78,459.926054
93.614104,86,462.087367
95.03096,74,465.101227
91.320405,109,468.067447
94.40476,81,470.436139
93.906567,82,472.560102
95.063891,75,474.812872
94.608828,74,476.944173
93.960695,80,478.548316
94.562621,76,480.992079
93.051626,86,483.608722
93.610468,82,486.070251
93.895432,84,488.700834
91.798238,95,491.593066
93.398773,79,493.545032
92.722954,86,496.402287
92.911542,87,499.147778
93.076639,85,501.406232
92.209794,91,504.15324
92.138732,90,507.095029
93.015433,83,509.176632
92.000731,89,512.06636
92.07037,89,514.922728
92.258174,89,517.725441
91.815194,90,520.627982
92.578278,84,522.750925
93.047841,96,525.634195
93.457945,81,528.536352
92.951845,83,530.719903
92.301087,89,533.515003
92.62983,82,536.048404
93.166329,82,538.104122
92.565988,85,540.620969
92.725123,82,542.617746
92.67233,85,545.184455
92.320923,87,547.786404
93.45894,79,549.895555
92.534403,84,552.676149
92.647139,83,555.528152
92.702758,83,557.742889
92.417834,82,560.272143
92.656953,82,562.263309
92.709811,80,565.541412
92.385973,84,567.704543
92.964564,82,570.58497
92.767619,81,572.743628
93.160842,81,575.692513
92.80163,81,578.770455
92.663378,81,581.066985
92.419182,83,583.849416
93.476743,78,586.620171
92.755305,82,589.506495
92.920188,81,591.850744
94.066326,78,594.628299
92.614125,82,596.943611
93.520487,80,599.886319
93.2777,77,602.137229
92.558788,81,604.635145
92.773595,81,606.756569
92.809573,79,609.322382
93.031239,81,612.47367
92.940028,80,615.013511
92.921307,82,618.227602
92.830562,81,621.222233
92.610473,83,623.509665
92.780612,80,626.100936
92.904806,82,628.275849
92.773281,80,630.95732
92.500357,82,632.837958
92.382569,83,635.237703
92.435143,81,637.937079
93.188031,83,639.87769
92.322067,84,642.445367
92.36634,82,644.184042
94.08089,81,646.71636
93.422246,78,648.457763
92.961232,78,650.986918
92.914096,80,652.849157
93.973447,76,655.832922
93.185507,74,658.006498
-89.345081,999,680.200166
-91.168342,999,701.432941
-87.202946,999,722.769499
-89.324224,999,744.476713
-90.263354,999,764.462572
13.206294,944,786.654454
90.217653,113,789.199766
