#{"t_start": 1712703587.338931, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.274743,999,19.460849
96.671411,667,34.459718
87.146292,870,54.741657
93.639438,227,59.804734
89.748505,349,67.589985
85.942526,292,74.379661
85.030066,292,81.120308
88.73854,330,89.559531
77.864155,618,103.36926
75.03504,422,112.646206
81.274215,426,123.096258
79.545013,429,134.209432
92.116951,177,138.381027
86.647636,207,149.563311
61.605845,646,163.526224
74.469881,442,173.588893
91.632232,158,175.916045
90.47315,141,179.488331
82.096537,362,186.944637
83.921863,347,194.564894
90.170854,152,198.207145
83.775728,241,203.433882
81.854499,236,208.60392
72.875559,360,216.855147
44.526961,710,232.617959
76.653669,318,239.147771
45.494824,842,258.805915
80.303034,506,270.469164
94.105177,152,275.028525
94.312854,133,278.006048
94.37063,147,281.629068
95.118914,72,283.152547
89.79286,210,287.500337
94.219768,71,291.107616
90.936424,163,295.068339
91.300898,151,299.238725
85.57222,282,305.777044
92.471358,141,309.597351
58.993746,590,323.812282
68.615945,406,333.822319
93.264257,92,336.312172
66.712028,408,346.13951
89.016994,155,350.002529
78.438945,255,356.038359
91.487946,106,359.682748
93.506947,82,361.911193
93.689698,81,364.600655
93.689459,80,366.741022
93.381145,81,369.481606
92.686368,90,372.249604
93.431031,80,374.468066
93.618356,80,377.303201
93.454204,81,379.521229
93.342331,79,382.031779
93.846429,80,384.099511
94.242159,75,386.036029
94.050342,73,388.624594
94.388889,76,390.582763
93.830412,72,392.540649
93.87869,71,395.84578
94.277112,72,397.848144
94.065104,68,399.606074
94.1299,67,401.330791
94.136268,76,403.346749
94.279421,66,405.420765
94.100405,70,408.138088
94.01157,77,410.258021
94.07983,81,413.167279
91.800161,95,415.792535
93.553247,78,418.010228
90.161875,147,422.562936
94.140452,68,424.63204
94.496914,68,426.783356
93.957611,67,428.413021
94.35315,67,430.22575
94.114932,70,432.105123
94.123151,68,433.991514
94.102255,67,435.959523
94.124784,70,438.207053
94.045495,67,440.284802
94.178904,73,442.420786
94.599947,68,444.561556
94.228211,70,446.725198
94.373378,68,448.896807
94.488034,73,451.443071
94.608051,75,453.397985
94.780788,74,456.118687
94.868252,71,458.800487
94.507495,82,461.0863
94.879019,75,463.086494
94.41666,80,466.291633
88.825057,154,470.513684
95.081108,75,472.402726
94.892643,72,474.062844
93.712176,82,476.79038
93.146846,90,479.422552
94.110014,80,481.095942
93.156605,90,483.771462
93.299278,81,486.770342
92.909977,87,488.952262
93.420175,77,491.669192
93.809227,79,493.69467
92.159147,89,496.485957
91.940332,95,499.369798
91.549442,97,502.364745
92.763799,85,505.004132
92.492642,88,507.267403
92.143684,93,510.172063
92.171911,88,513.035847
92.018585,91,515.90379
93.113994,86,518.712143
91.861732,92,520.953202
92.454763,86,523.725429
91.483288,98,526.61838
92.947031,82,529.515312
92.015033,93,532.539589
91.353203,94,535.158372
92.580778,85,537.154497
92.798013,84,539.712705
92.399307,84,541.728954
92.54328,86,544.292299
92.846908,84,546.896876
92.037213,88,549.567433
92.372902,84,551.832782
93.186351,82,554.572505
92.657763,81,556.762071
92.704225,83,559.509608
92.30192,84,561.479692
93.079091,80,564.693817
92.483351,85,567.511736
93.189774,82,569.688814
93.004367,82,572.544037
92.638835,82,574.714072
93.061915,80,577.80437
92.661903,81,580.091568
93.132863,82,582.852283
92.621279,81,585.287855
92.837259,82,588.68738
92.789373,82,591.565456
93.117423,81,593.814858
92.629864,84,596.804493
92.67938,81,599.189291
92.625037,83,602.026441
92.848466,81,604.008118
92.723117,80,606.567644
93.041667,79,608.547609
93.141934,80,612.252923
92.518665,85,614.783938
92.566735,82,617.836486
92.338298,86,621.221093
93.184616,80,623.423047
93.14372,77,625.938281
92.555627,83,627.772802
93.677021,85,630.956179
92.792553,81,632.760296
92.614624,85,635.314564
93.449941,78,637.855779
92.924225,80,639.78999
92.543298,82,642.310179
92.52785,84,644.101983
92.769456,79,646.621889
92.936271,81,648.376985
92.862962,82,650.985778
92.896678,79,652.769348
92.961133,83,655.972472
93.697546,72,658.087727
-89.667311,999,680.333686
-85.353105,999,702.155127
-92.016453,999,722.898016
-91.13762,999,744.605166
-89.332681,999,764.593869
42.193403,698,780.268418
81.310376,204,784.837192
91.233167,105,788.154307
90.110286,113,791.369578
