#{"t_start": 1712587697.5082393, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.035261,999,23.505272
92.604125,985,44.687176
-24.986567,999,74.700056
88.264518,421,86.350897
91.543419,169,90.276856
94.580035,186,94.512309
84.699157,396,103.279922
88.532054,411,112.314348
91.169204,199,116.471754
94.762264,94,118.737533
71.998247,595,138.768711
67.665153,629,153.089437
91.571069,139,156.199112
92.099955,198,160.513435
91.477793,159,164.201226
-48.744239,999,191.521288
75.63943,523,203.837313
57.968828,617,216.949066
-87.029347,999,237.954589
38.428202,903,262.526451
79.193176,351,269.947791
83.137315,296,276.744374
73.724624,788,293.835721
93.766456,135,296.601079
94.823643,95,299.022382
87.668564,213,304.459379
