#{"t_start": 1712587697.510467, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.568061,999,23.503044
-5.737659,999,45.433218
96.013403,127,48.403043
71.458227,991,79.328037
94.735074,158,83.365295
86.165899,503,95.322354
94.550545,173,98.992314
92.939132,208,103.419301
76.593998,689,118.599334
91.975072,255,130.223124
84.276568,259,135.880646
76.797797,421,146.007439
93.354319,106,148.022977
82.646154,299,155.431398
64.237664,688,170.56044
83.524219,393,179.719457
88.168631,360,192.863925
90.878082,158,196.520432
93.020307,136,199.458663
65.230298,492,210.163932
26.354083,975,231.16924
69.194846,392,239.453221
57.954196,763,261.13404
87.456909,250,266.586591
72.779454,428,275.335771
90.381349,130,278.335489
73.560993,517,289.022419
93.846981,158,292.958701
82.733577,443,303.441375
