#{"t_start": 1712587697.5167336, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.022615,999,23.496778
-4.797771,999,45.426951
-17.21308,999,74.930238
93.597421,194,81.086975
89.180996,284,87.923657
91.71722,297,94.644398
92.032328,338,102.459119
94.236757,200,106.85059
89.846825,587,120.041909
81.119798,391,134.388385
84.222093,361,143.124659
77.985009,439,153.221538
74.053379,463,163.395683
92.513344,140,167.068707
90.330667,184,170.554174
94.590308,93,172.742213
90.917599,206,177.587675
81.163495,389,191.370397
85.652957,274,197.279613
72.015969,532,209.338216
67.259732,427,218.654896
82.119635,224,223.113983
53.313558,589,235.930755
60.723152,518,252.090058
71.437,393,260.396794
56.489284,815,278.17301
84.813427,355,285.407631
92.020002,274,291.452789
83.837336,358,300.419805
