#{"t_start": 1712587697.5115223, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.760402,999,23.501989
97.167146,785,40.089477
97.069794,390,49.25528
90.171953,339,63.430468
96.112858,193,67.952098
84.888302,312,75.712085
87.504769,270,83.459846
91.666838,293,90.414855
95.218547,81,92.34903
66.392611,886,112.154887
82.772158,387,120.829893
94.904566,111,128.571265
95.078535,83,130.987185
70.737602,611,145.239589
85.142315,262,151.054401
81.217228,424,160.650744
89.278131,244,166.324289
91.446469,189,170.406954
84.486089,330,177.749104
94.102464,157,181.233588
78.514585,368,195.065695
88.962579,163,198.653069
88.44767,167,202.17732
81.371744,272,207.692896
65.703508,463,218.416532
-80.885683,999,239.329864
-70.642379,999,265.866128
78.916717,342,273.100478
90.94444,264,279.053405
77.447793,496,289.771187
89.484415,204,294.660368
88.543649,345,302.674876
