#{"t_start": 1712587697.514684, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.274743,999,23.498827
96.671411,667,37.739317
87.146292,870,64.191869
93.639438,227,69.272855
89.748505,349,79.170281
85.942526,292,86.344453
85.030066,292,93.114539
88.73854,330,100.507502
77.864155,618,114.35184
75.03504,422,129.372875
81.274215,426,139.565105
79.545013,429,149.503743
92.116951,177,153.317312
86.647636,207,158.346732
61.605845,646,172.525564
74.469881,442,182.73153
91.632232,158,190.686832
90.47315,141,194.373508
82.096537,362,202.314753
83.921863,347,210.019092
90.170854,152,213.56688
83.775728,241,218.578798
81.854499,236,223.834523
72.875559,360,231.305614
44.526961,710,251.337905
76.653669,318,258.215741
45.494824,842,276.034512
80.303034,506,286.815598
94.105177,152,290.705696
94.312854,133,293.704307
94.37063,147,297.313215
95.118914,72,298.859725
89.79286,210,303.562129
