#{"t_start": 1712587697.51873, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.487059,999,23.494781
-6.466319,999,45.424955
90.298029,625,65.83204
93.210871,184,70.203336
91.767063,188,74.848202
75.609935,825,96.096324
86.836324,442,105.941986
93.746916,235,110.849713
93.289716,132,113.616091
94.31333,156,117.211087
58.16749,815,141.764671
94.581701,109,144.49818
82.886655,422,154.016348
-54.770245,999,176.210032
79.820853,397,190.510952
87.454569,201,195.199082
79.968017,354,203.138539
82.630458,282,209.195416
91.119946,125,212.187335
91.025067,152,215.547228
64.637316,427,224.597057
31.893136,847,242.17944
69.705356,433,256.806976
55.850365,863,275.202538
-40.458823,999,297.449761
93.681379,129,300.574022
91.779085,146,304.23019
