#{"t_start": 1712587697.5197978, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.746421,999,23.493713
-6.757972,999,45.423887
91.878963,538,64.186755
94.676964,124,67.157343
94.667408,186,71.113854
94.181659,198,76.664705
90.683972,295,84.857876
87.275277,503,96.813632
93.436505,183,100.37624
77.345358,928,121.055937
95.09576,99,128.696872
88.698652,254,134.542538
90.262638,195,139.700583
76.279533,398,148.75825
94.261309,89,150.889913
82.215122,303,157.641818
80.180305,382,166.399328
86.396369,286,172.64542
93.887675,143,175.474762
83.141281,285,182.006941
41.71121,955,208.454596
68.667603,425,217.702985
70.306683,397,226.611593
78.431264,243,231.400828
59.129039,531,242.913067
91.962255,132,250.57162
56.186223,646,264.51442
71.282819,554,276.873378
70.767833,635,290.528746
94.2606,80,292.168305
85.658282,307,299.666955
