#{"t_start": 1712587697.5135186, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.778047,999,23.499993
94.910805,809,40.969725
-9.386237,999,70.208548
90.397357,273,77.650954
88.095643,191,83.222885
88.109763,227,88.768548
87.642824,378,97.570819
91.423424,425,106.697592
93.025108,188,110.714331
80.103508,461,120.98411
92.839445,121,129.516721
91.577055,198,133.642241
89.72586,155,137.236661
94.731828,95,140.377834
70.171511,511,151.740276
90.696068,197,156.33569
92.554322,173,159.789134
95.222808,86,161.992841
90.148193,183,166.196395
79.295156,335,173.48045
84.849244,282,179.8882
80.088186,398,194.235723
87.703613,245,199.596169
90.185108,148,203.003159
73.853124,344,210.832401
18.658329,991,232.057221
69.258307,425,240.777737
69.72104,387,254.125492
83.778094,228,259.024817
60.885757,507,269.801919
89.140735,193,273.848304
72.160197,672,288.238303
90.979366,251,294.502159
94.012845,141,297.5487
91.935864,148,301.266962
92.691158,131,304.375994
